lastName,firstName,UID,state,party,district
Pou,Nellie,P000621,New Jersey,Democratic,9
Olszewski,Johnny,O000176,Maryland,Democratic,2
McDowell,Addison,M001240,North Carolina,Republican,6
McGuire,John,M001239,Virginia,Republican,5
McDonald Rivet,Kristen,M001237,Michigan,Democratic,8
Moore,Tim,M001236,North Carolina,Republican,14
Moore,Riley,M001235,West Virginia,Republican,2
Messmer,Mark,M001233,Indiana,Republican,8
McClain Delaney,April,M001232,Maryland,Democratic,6
Mannion,John,M001231,New York,Democratic,22
Mackenzie,Ryan,M001230,Pennsylvania,Republican,7
Latimer,George,L000606,New York,Democratic,16
Knott,Brad,K000405,North Carolina,Republican,13
Kennedy,Mike,K000403,Utah,Republican,3
Johnson,Julie,J000310,Texas,Democratic,32
Hernández,Pablo,H001103,Puerto Rico,Democratic,
Harris,Mark,H001102,North Carolina,Republican,8
Harrigan,Pat,H001101,North Carolina,Republican,10
Goodlander,Maggie,G000604,New Hampshire,Democratic,2
Gill,Brandon,G000603,Texas,Republican,26
Gillen,Laura,G000602,New York,Democratic,4
