lastName,firstName,UID,state,party,district
Abernethy,Thomas,A000016,Mississippi,Democratic,1
Abbitt,Watkins,A000002,Virginia,Democratic,4
Wagner,Ann,W000812,Missouri,Republican,2
LaMalfa,Doug,L000578,California,Republican,1
Greene,Marjorie,G000596,Georgia,Republican,14
Zimmer,Dick,Z000008,New Jersey,Republican,12
Schulze,Richard,S000146,Pennsylvania,Republican,5
Campbell,Ben,C000077,Colorado,Republican,
Rulli,Michael,R000619,Ohio,Republican,6
Dunn,Neal,D000628,Florida,Republican,2
Norton,Eleanor,N000147,District of Columbia,Democratic,
DeLauro,Rosa,D000216,Connecticut,Democratic,3
Waters,Maxine,W000187,California,Democratic,43
Pelosi,Nancy,P000197,California,Democratic,11
Van Epps,Matt,V000139,Tennessee,Republican,7
Sherrill,Mikie,S001207,New Jersey,Democratic,11
Grijalva,Adelita,G000606,Arizona,Democratic,7
Crawford,Eric,C001087,Arkansas,Republican,1
Cheney,Dick,C000344,Wyoming,Republican,
Stallings,Richard,S000785,Idaho,Democratic,2
Kilpatrick,Carolyn,K000180,Michigan,Democratic,13
Whitesides,George,W000830,California,Democratic,27
Fine,Randy,F000484,Florida,Republican,6
Patronis,Jimmy,P000622,Florida,Republican,1
Vindman,Eugene,V000138,Virginia,Democratic,7
Taylor,David,T000490,Ohio,Republican,2
Subramanyam,Suhas,S001230,Virginia,Democratic,10
Shreve,Jefferson,S001229,Indiana,Republican,6
Schmidt,Derek,S001228,Kansas,Republican,2
Riley,Josh,R000622,New York,Democratic,19
Pou,Nellie,P000621,New Jersey,Democratic,9
Olszewski,Johnny,O000176,Maryland,Democratic,2
McDowell,Addison,M001240,North Carolina,Republican,6
McGuire,John,M001239,Virginia,Republican,5
Moore,Tim,M001236,North Carolina,Republican,14
Moore,Riley,M001235,West Virginia,Republican,2
Messmer,Mark,M001233,Indiana,Republican,8
McClain Delaney,April,M001232,Maryland,Democratic,6
Mannion,John,M001231,New York,Democratic,22
Mackenzie,Ryan,M001230,Pennsylvania,Republican,7
Latimer,George,L000606,New York,Democratic,16
Knott,Brad,K000405,North Carolina,Republican,13
Kennedy,Mike,K000403,Utah,Republican,3
Johnson,Julie,J000310,Texas,Democratic,32
Hernández,Pablo,H001103,Puerto Rico,Democratic,
Harris,Mark,H001102,North Carolina,Republican,8
Harrigan,Pat,H001101,North Carolina,Republican,10
Goodlander,Maggie,G000604,New Hampshire,Democratic,2
Gill,Brandon,G000603,Texas,Republican,26
Gillen,Laura,G000602,New York,Democratic,4
Goldman,Craig,G000601,Texas,Republican,12
Friedman,Laura,F000483,California,Democratic,30
Fedorchak,Julie,F000482,North Dakota,Republican,
Elfreth,Sarah,E000301,Maryland,Democratic,3
Dexter,Maxine,D000635,Oregon,Democratic,3
Downing,Troy,D000634,Montana,Republican,2
Conaway,Herbert,C001136,New Jersey,Democratic,3
Bresnahan,Robert,B001327,Pennsylvania,Republican,8
Bynum,Janelle,B001326,Oregon,Democratic,5
Biggs,Sheri,B001325,South Carolina,Republican,3
Baumgartner,Michael,B001322,Washington,Republican,5
Barrett,Tom,B001321,Michigan,Republican,7
McCormick,Richard,M001218,Georgia,Republican,7
Stutzman,Marlin,S001188,Indiana,Republican,3
Fields,Cleo,F000110,Louisiana,Democratic,6
Onder,Robert,O000177,Missouri,Republican,3
McBride,Sarah,M001238,Delaware,Democratic,
Morrison,Kelly,M001234,Minnesota,Democratic,3
King-Hinds,Kimberlyn,K000404,Northern Mariana Islands,Republican,
Jack,Brian,J000311,Georgia,Republican,3
Haridopolos,Mike,H001099,Florida,Republican,8
Figures,Shomari,F000481,Alabama,Democratic,2
Evans,Gabe,E000300,Colorado,Republican,8
Crank,Jeff,C001137,Colorado,Republican,5
Bell,Wesley,B001324,Missouri,Democratic,1
Wied,Tony,W000829,Wisconsin,Republican,8
McIver,LaMonica,M001229,New Jersey,Democratic,10
Fong,Vince,F000480,California,Republican,20
Kennedy,Timothy,K000402,New York,Democratic,26
Maloy,Celeste,M001228,Utah,Republican,2
Amo,Gabe,A000380,Rhode Island,Democratic,1
McClellan,Jennifer,M001227,Virginia,Democratic,4
Van Orden,Derrick,V000135,Wisconsin,Republican,3
Self,Keith,S001224,Texas,Republican,3
Perez,Marie,G000600,Washington,Democratic,3
Ogles,Andrew,O000175,Tennessee,Republican,5
Moran,Nathaniel,M001224,Texas,Republican,1
Magaziner,Seth,M001223,Rhode Island,Democratic,2
Luttrell,Morgan,L000603,Texas,Republican,8
Lee,Summer,L000602,Pennsylvania,Democratic,12
Kiggans,Jennifer,K000399,Virginia,Republican,2
Hunt,Wesley,H001095,Texas,Republican,38
Hageman,Harriet,H001096,Wyoming,Republican,
Fry,Russell,F000478,South Carolina,Republican,7
Deluzio,Christopher,D000530,Pennsylvania,Democratic,17
De La Cruz,Monica,D000594,Texas,Republican,15
Crockett,Jasmine,C001130,Texas,Democratic,30
Casar,Greg,C001131,Texas,Democratic,35
Balint,Becca,B001318,Vermont,Democratic,
Moore,Barry,M001212,Alabama,Republican,1
Franklin,Scott,F000472,Florida,Republican,18
Boebert,Lauren,B000825,Colorado,Republican,4
Miller,Carol,M001205,West Virginia,Republican,1
McBath,Lucy,M001208,Georgia,Democratic,6
Cisneros,Gilbert,C001123,California,Democratic,31
Scanlon,Mary,S001205,Pennsylvania,Democratic,5
Gonzalez,Vicente,G000581,Texas,Democratic,34
Suozzi,Thomas,S001201,New York,Democratic,3
Green,Al,G000553,Texas,Democratic,9
Doggett,Lloyd,D000399,Texas,Democratic,37
Vasquez,Gabe,V000136,New Mexico,Democratic,2
Tokuda,Jill,T000487,Hawaii,Democratic,2
Thanedar,Shri,T000488,Michigan,Democratic,13
Sykes,Emilia,S001223,Ohio,Democratic,13
Sorensen,Eric,S001225,Illinois,Democratic,17
Scholten,Hillary,S001221,Michigan,Democratic,3
Salinas,Andrea,S001226,Oregon,Democratic,6
Ramirez,Delia,R000617,Illinois,Democratic,3
Nunn,Zachary,N000193,Iowa,Republican,3
Moylan,James,M001219,Guam,Republican,
Moskowitz,Jared,M001217,Florida,Democratic,23
Mills,Cory,M001216,Florida,Republican,7
Miller,Max,M001222,Ohio,Republican,7
Menendez,Robert,M001226,New Jersey,Democratic,8
McGarvey,Morgan,M001220,Kentucky,Democratic,3
Luna,Anna,L000596,Florida,Republican,13
Lee,Laurel,L000597,Florida,Republican,15
Lawler,Michael,L000599,New York,Republican,17
Langworthy,Nicholas,L000600,New York,Republican,23
Landsman,Greg,L000601,Ohio,Democratic,1
LaLota,Nick,L000598,New York,Republican,1
Kean,Thomas,K000398,New Jersey,Republican,7
James,John,J000307,Michigan,Republican,10
Jackson,Jonathan,J000309,Illinois,Democratic,1
Ivey,Glenn,I000058,Maryland,Democratic,4
Hoyle,Val,H001094,Oregon,Democratic,4
Houchin,Erin,H001093,Indiana,Republican,9
Goldman,Daniel,G000599,New York,Democratic,10
Foushee,Valerie,F000477,North Carolina,Democratic,4
Ezell,Mike,E000235,Mississippi,Republican,4
Edwards,Chuck,E000246,North Carolina,Republican,11
Davis,Donald,D000230,North Carolina,Democratic,1
Collins,Mike,C001129,Georgia,Republican,10
Burlison,Eric,B001316,Missouri,Republican,7
Budzinski,Nikki,B001315,Illinois,Democratic,13
Brecheen,Josh,B001317,Oklahoma,Republican,2
Alford,Mark,A000379,Missouri,Republican,4
Ryan,Patrick,R000579,New York,Democratic,18
Miller-Meeks,Mariannette,M001215,Iowa,Republican,1
McClain,Lisa,M001136,Michigan,Republican,9
Hinson,Ashley,H001091,Iowa,Republican,2
Gimenez,Carlos,G000593,Florida,Republican,28
Tlaib,Rashida,T000481,Michigan,Democratic,12
Tenney,Claudia,T000478,New York,Republican,24
Mast,Brian,M001199,Florida,Republican,21
Rutherford,John,R000609,Florida,Republican,5
LaHood,Darin,L000585,Illinois,Republican,16
Zinke,Ryan,Z000018,Montana,Republican,1
Dingell,Debbie,D000624,Michigan,Democratic,6
Moolenaar,John,M001194,Michigan,Republican,2
Hudson,Richard,H001067,North Carolina,Republican,9
Frankel,Lois,F000462,Florida,Democratic,22
Huizenga,Bill,H001058,Michigan,Republican,4
Walberg,Tim,W000798,Michigan,Republican,5
Nadler,Jerrold,N000002,New York,Democratic,12
Wasserman Schultz,Debbie,W000797,Florida,Democratic,25
Diaz-Balart,Mario,D000600,Florida,Republican,26
Strong,Dale,S001220,Alabama,Republican,5
Pettersen,Brittany,P000620,Colorado,Democratic,7
Mullin,Kevin,M001225,California,Democratic,15
Kamlager-Dove,Sydney,K000400,California,Democratic,37
Garcia,Robert,G000598,California,Democratic,42
Crane,Elijah,C001132,Arizona,Republican,2
Ciscomani,Juan,C001133,Arizona,Republican,6
Bean,Aaron,B001314,Florida,Republican,4
Yakym,Rudy,Y000067,Indiana,Republican,2
Finstad,Brad,F000475,Minnesota,Republican,1
Flood,Mike,F000474,Nebraska,Republican,1
Cherfilus-McCormick,Sheila,C001127,Florida,Democratic,20
Carey,Mike,C001126,Ohio,Republican,15
Brown,Shontel,B001313,Ohio,Democratic,11
Ellzey,Jake,E000071,Texas,Republican,6
Stansbury,Melanie,S001218,New Mexico,Democratic,1
Carter,Troy,C001125,Louisiana,Democratic,2
Letlow,Julia,L000595,Louisiana,Republican,5
Obernolte,Jay,O000019,California,Republican,23
Kim,Young,K000397,California,Republican,40
Van Duyne,Beth,V000134,Texas,Republican,24
Strickland,Marilyn,S001159,Washington,Democratic,10
Owens,Burgess,O000086,Utah,Republican,4
Nehls,Troy,N000026,Texas,Republican,22
Moore,Blake,M001213,Utah,Republican,1
Jacobs,Sara,J000305,California,Democratic,51
Jackson,Ronny,J000304,Texas,Republican,13
Fitzgerald,Scott,F000471,Wisconsin,Republican,5
Harder,Josh,H001090,California,Democratic,9
Stanton,Greg,S001211,Arizona,Democratic,4
Panetta,Jimmy,P000613,California,Democratic,19
Lieu,Ted,L000582,California,Democratic,36
Aguilar,Pete,A000371,California,Democratic,33
DeSaulnier,Mark,D000623,California,Democratic,10
Peters,Scott,P000608,California,Democratic,50
Vargas,Juan,V000130,California,Democratic,52
Takano,Mark,T000472,California,Democratic,39
Ruiz,Raul,R000599,California,Democratic,25
Valadao,David,V000129,California,Republican,22
Bera,Ami,B001287,California,Democratic,6
Garamendi,John,G000559,California,Democratic,8
Chu,Judy,C001080,California,Democratic,28
Schweikert,David,S001183,Arizona,Republican,1
Gosar,Paul,G000565,Arizona,Republican,9
McClintock,Tom,M001177,California,Republican,5
Matsui,Doris,M001163,California,Democratic,7
Thompson,Mike,T000460,California,Democratic,4
Sherman,Brad,S000344,California,Democratic,32
Sessions,Pete,S000250,Texas,Republican,17
Issa,Darrell,I000056,California,Republican,48
Calvert,Ken,C000059,California,Republican,41
Lofgren,Zoe,L000397,California,Democratic,18
Williams,Nikema,W000788,Georgia,Democratic,5
Torres,Ritchie,T000486,New York,Democratic,15
Spartz,Victoria,S000929,Indiana,Republican,5
Salazar,Maria,S000168,Florida,Republican,27
Ross,Deborah,R000305,North Carolina,Democratic,2
Pfluger,August,P000048,Texas,Republican,11
Mrvan,Frank,M001214,Indiana,Democratic,1
Miller,Mary,M001211,Illinois,Republican,15
Mann,Tracey,M000871,Kansas,Republican,1
Malliotakis,Nicole,M000317,New York,Republican,11
Mace,Nancy,M000194,South Carolina,Republican,1
Leger Fernandez,Teresa,L000273,New Mexico,Democratic,3
Harshbarger,Diana,H001086,Tennessee,Republican,1
Garbarino,Andrew,G000597,New York,Republican,2
Fischbach,Michelle,F000470,Minnesota,Republican,7
Feenstra,Randy,F000446,Iowa,Republican,4
Fallon,Pat,F000246,Texas,Republican,4
Donalds,Byron,D000032,Florida,Republican,19
Clyde,Andrew,C001116,Georgia,Republican,9
Cammack,Kat,C001039,Florida,Republican,3
Bice,Stephanie,B000740,Oklahoma,Republican,5
Bentz,Cliff,B000668,Oregon,Republican,2
Auchincloss,Jake,A000148,Massachusetts,Democratic,4
Tiffany,Thomas,T000165,Wisconsin,Republican,7
Murphy,Gregory,M001210,North Carolina,Republican,3
Golden,Jared,G000592,Maine,Democratic,2
Steil,Bryan,S001213,Wisconsin,Republican,1
Schrier,Kim,S001216,Washington,Democratic,8
Garcia,Sylvia,G000587,Texas,Democratic,29
Roy,Chip,R000614,Texas,Republican,21
Escobar,Veronica,E000299,Texas,Democratic,16
Fletcher,Lizzie,F000468,Texas,Democratic,7
Gooden,Lance,G000589,Texas,Republican,5
Rose,John,R000612,Tennessee,Republican,6
Burchett,Tim,B001309,Tennessee,Republican,2
Johnson,Dusty,J000301,South Dakota,Republican,
Timmons,William,T000480,South Carolina,Republican,4
Reschenthaler,Guy,R000610,Pennsylvania,Republican,14
Joyce,John,J000302,Pennsylvania,Republican,13
Meuser,Daniel,M001204,Pennsylvania,Republican,9
Houlahan,Chrissy,H001085,Pennsylvania,Democratic,6
Dean,Madeleine,D000631,Pennsylvania,Democratic,4
Van Drew,Jefferson,V000133,New Jersey,Republican,2
Craig,Angie,C001119,Minnesota,Democratic,2
García,Jesús,G000586,Illinois,Democratic,4
Smucker,Lloyd,S001199,Pennsylvania,Republican,11
Evans,Dwight,E000296,Pennsylvania,Democratic,3
Perry,Scott,P000605,Pennsylvania,Republican,10
Kelly,Mike,K000376,Pennsylvania,Republican,16
Thompson,Glenn,T000467,Pennsylvania,Republican,15
Mfume,Kweisi,M000687,Maryland,Democratic,7
Walkinshaw,James,W000831,Virginia,Democratic,11
Ocasio-Cortez,Alexandria,O000172,New York,Democratic,14
Lee,Susie,L000590,Nevada,Democratic,3
Pappas,Chris,P000614,New Hampshire,Democratic,1
Guest,Michael,G000591,Mississippi,Republican,3
Stauber,Pete,S001212,Minnesota,Republican,8
Omar,Ilhan,O000173,Minnesota,Democratic,5
Stevens,Haley,S001215,Michigan,Democratic,11
Pressley,Ayanna,P000617,Massachusetts,Democratic,7
Trahan,Lori,T000482,Massachusetts,Democratic,3
Davids,Sharice,D000629,Kansas,Democratic,3
Baird,James,B001307,Indiana,Republican,4
Underwood,Lauren,U000040,Illinois,Democratic,14
Casten,Sean,C001117,Illinois,Democratic,6
Fulcher,Russ,F000469,Idaho,Republican,1
Steube,W.,S001214,Florida,Republican,17
Hayes,Jahana,H001081,Connecticut,Democratic,5
Neguse,Joe,N000191,Colorado,Democratic,2
Levin,Mike,L000593,California,Democratic,49
Hern,Kevin,H001082,Oklahoma,Republican,1
Morelle,Joseph,M001206,New York,Democratic,25
Balderson,Troy,B001306,Ohio,Republican,12
Cloud,Michael,C001115,Texas,Republican,27
Gomez,Jimmy,G000585,California,Democratic,34
Norman,Ralph,N000190,South Carolina,Republican,5
Estes,Ron,E000298,Kansas,Republican,4
Jayapal,Pramila,J000298,Washington,Democratic,7
Arrington,Jodey,A000375,Texas,Republican,19
Kustoff,David,K000392,Tennessee,Republican,8
Fitzpatrick,Brian,F000466,Pennsylvania,Republican,1
Espaillat,Adriano,E000297,New York,Democratic,13
Gottheimer,Josh,G000583,New Jersey,Democratic,5
Bacon,Don,B001298,Nebraska,Republican,2
Bergman,Jack,B001301,Michigan,Republican,1
Raskin,Jamie,R000606,Maryland,Democratic,8
Johnson,Mike,J000299,Louisiana,Republican,4
Higgins,Clay,H001077,Louisiana,Republican,3
Krishnamoorthi,Raja,K000391,Illinois,Democratic,8
Soto,Darren,S001200,Florida,Democratic,9
Correa,J.,C001110,California,Democratic,46
Barragán,Nanette,B001300,California,Democratic,44
Carbajal,Salud,C001112,California,Democratic,24
Horsford,Steven,H001066,Nevada,Democratic,4
Schneider,Bradley,S001190,Illinois,Democratic,10
Webster,Daniel,W000806,Florida,Republican,11
Case,Ed,C001055,Hawaii,Democratic,1
Min,Dave,M001241,California,Democratic,47
Hurd,Jeff,H001100,Colorado,Republican,3
Biggs,Andy,B001302,Arizona,Republican,5
Khanna,Ro,K000389,California,Democratic,17
Comer,James,C001108,Kentucky,Republican,1
Davidson,Warren,D000626,Ohio,Republican,8
Kelly,Trent,K000388,Mississippi,Republican,1
Grothman,Glenn,G000576,Wisconsin,Republican,6
Newhouse,Dan,N000189,Washington,Republican,4
Plaskett,Stacey,P000610,Virgin Islands,Democratic,
Beyer,Donald,B001292,Virginia,Democratic,8
Babin,Brian,B001291,Texas,Republican,36
Stefanik,Elise,S001196,New York,Republican,21
Watson Coleman,Bonnie,W000822,New Jersey,Democratic,12
Rouzer,David,R000603,North Carolina,Republican,7
Emmer,Tom,E000294,Minnesota,Republican,6
Moulton,Seth,M001196,Massachusetts,Democratic,6
Bost,Mike,B001295,Illinois,Republican,12
Allen,Rick,A000372,Georgia,Republican,12
Loudermilk,Barry,L000583,Georgia,Republican,11
Carter,Earl,C001103,Georgia,Republican,1
Torres,Norma,T000474,California,Democratic,35
Westerman,Bruce,W000821,Arkansas,Republican,4
Hill,J.,H001072,Arkansas,Republican,2
Radewagen,Aumua,R000600,American Samoa,Republican,
Palmer,Gary,P000609,Alabama,Republican,6
Norcross,Donald,N000188,New Jersey,Democratic,1
Adams,Alma,A000370,North Carolina,Democratic,12
Clark,Katherine,C001101,Massachusetts,Democratic,5
Smith,Jason,S001195,Missouri,Republican,8
Barr,Andy,B001282,Kentucky,Republican,6
Clarke,Yvette,C001067,New York,Democratic,9
Tonko,Paul,T000469,New York,Democratic,20
Kelly,Robin,K000385,Illinois,Democratic,2
Meeks,Gregory,M001137,New York,Democratic,5
Velázquez,Nydia,V000081,New York,Democratic,7
Turner,Michael,T000463,Ohio,Republican,10
Tran,Derek,T000491,California,Democratic,45
Pocan,Mark,P000607,Wisconsin,Democratic,2
Veasey,Marc,V000131,Texas,Democratic,33
Williams,Roger,W000816,Texas,Republican,25
Weber,Randy,W000814,Texas,Republican,14
Joyce,David,J000295,Ohio,Republican,14
